店舗名,lon,lat,指定区分,最初の 住所
45 CAFE,139.617574,35.935154,[バ・情]  バランスメニュー提供・健康情報発信,北区宮原町1-262-1
cafe&naturalfood fu.fu.fu+ﾌﾟﾗｽ,139.701055,35.923247,[バ・情]  バランスメニュー提供・健康情報発信,岩槻区横根364-2
cafe&naturalfood Fu・Fu・Fu,139.698492,35.962305,[バ・情]  バランスメニュー提供・健康情報発信,岩槻区南辻124
"Hito-tsu
ひとつながるカフェ",139.62144,35.847928,[バ・情]  バランスメニュー提供・健康情報発信,桜区新開1-6-28
RENO　Cafe,139.646145,35.88334,[バ・情]  バランスメニュー提供・健康情報発信,浦和区領家7-26-2
Ristorante YUNO,139.629209,35.930002,[バ・情]  バランスメニュー提供・健康情報発信,北区土呂町1-2-13
"TOROto
コスモキッチン",139.63267,35.93231,[バ・情]  バランスメニュー提供・健康情報発信,"北区土呂町2-12-20
コスモスクエア4F"
お茶カフェうさぎ,139.6494,35.883881,[バ・情]  バランスメニュー提供・健康情報発信,浦和区領家7-17-14領家コーポD102号
キャンティ　パパ,139.659767,35.858063,[バ・情]  バランスメニュー提供・健康情報発信,浦和区東高砂14-6
きりしき共同作業所,139.611956,35.887441,[情]  健康情報発信,中央区円阿弥１-３-１５
こもれび食堂＋,139.650476,35.859079,[バ・情]  バランスメニュー提供・健康情報発信,"浦和区仲町2-16-15
ATビル1階"
しびらきベーカリー,139.621551,35.848074,[情]  健康情報発信,桜区新開1-4-13
スウィートフィッシュ＆フリーゲイト,139.64551,35.87454,[バ・情]  バランスメニュー提供・健康情報発信,浦和区北浦和3-11-2
ちひろ珈琲,139.642188,35.950255,[情]  健康情報発信,見沼区東大宮5-47-1
てづくり厨,139.63328,35.86122,[バ・情]  バランスメニュー提供・健康情報発信,桜区西堀8-9-18
とわそりーぬ,139.694821,35.949872,[情]  健康情報発信,岩槻区本町3-10-4
"パティスリー
スプランディード",139.642296,35.950508,[情]  健康情報発信,"見沼区東大宮
5-47-29"
パンテック,139.612699,35.857101,[バ・情]  バランスメニュー提供・健康情報発信,桜区道場2-13-10
ひだまり,139.560452,35.875378,[バ・情]  バランスメニュー提供・健康情報発信,西区塚本町3-140-2
ブーランジェリークック,139.62805,35.92903,[情]  健康情報発信,北区盆栽町526-9
ほっとラウンジ,139.653628,35.881596,[バ・情]  バランスメニュー提供・健康情報発信,浦和区領家4-15-10
ボナペティ食堂,139.65424,35.93535,[情]  健康情報発信,見沼区堀崎町12-36 見沼区役所3階
ポパイラーメン,139.701914,35.970394,[情]  健康情報発信,岩槻区上野2-2-6
マーブルテラス,139.63817,35.87234,[バ・情]  バランスメニュー提供・健康情報発信,浦和区常盤10-21-9コミューンときわ1階
"マレリ本社事業所
従業員食堂",139.608058,35.935956,[バ・情]  バランスメニュー提供・健康情報発信,北区日進町2-1917
みぬま(さいたま外来レストラン営業所),139.645281,35.907073,[バ・情]  バランスメニュー提供・健康情報発信,大宮区天沼町1-847自治医科大学さいたま医療センター内
むさしや本店,139.647598,35.85551,[バ・情]  バランスメニュー提供・健康情報発信,浦和区高砂3-17-13
やはぎ,139.604309,35.885794,[バ・情]  バランスメニュー提供・健康情報発信,桜区白鍬541
よし佳,139.6599,35.859829,[バ・情]  バランスメニュー提供・健康情報発信,浦和区東仲町28-23
ヨロ研カフェ,139.6993,35.95106,[情]  健康情報発信,岩槻区本町6-1-2
レ・スリジェ,139.619279,35.925939,[バ・情]  バランスメニュー提供・健康情報発信,北区東大成町2丁目214番地クレセントビル2F
磯崎家宗庵,139.70483,35.95592,[情]  健康情報発信,岩槻区本丸2-17-17
浦和菜館,139.681286,35.872275,[バ・情]  バランスメニュー提供・健康情報発信,緑区中尾109-4
"俺の洋食　
ビストロ　ボナペティ",139.62595,35.90823,[バ・情]  バランスメニュー提供・健康情報発信,大宮区宮町1-82-2F
"俺の洋食
ボナペティ　ピコ",139.68285,35.94086,[情]  健康情報発信,岩槻区加倉3-9-10
"花の食品館
レストラン",139.590487,35.940938,[バ・情]  バランスメニュー提供・健康情報発信,西区西新井216
花月庵　つくば,139.67651,35.87392,[情]  健康情報発信,緑区原山3-18-15
株式会社　浦和花見,139.65689,35.85805,[情]  健康情報発信,浦和区高砂1-6-10
丸花,139.705379,35.86757,[バ・情]  バランスメニュー提供・健康情報発信,緑区東浦和5-27-2
丸福,139.65173,35.87964,[バ・情]  バランスメニュー提供・健康情報発信,浦和区領家5-5-2
亀屋製菓,139.638552,35.950172,[情]  健康情報発信,見沼区東大宮4-21-4
喫茶ルポーズ,139.64064,35.90708,[バ・情]  バランスメニュー提供・健康情報発信,大宮区天沼町1-136-2
錦せんべい本舗,139.571903,35.906216,[情]  健康情報発信,西区土屋106-3
銀華飯店,139.664565,35.883898,[バ・情]  バランスメニュー提供・健康情報発信,浦和区大東3-16-8
銀鮨,139.655367,35.855399,[バ・情]  バランスメニュー提供・健康情報発信,浦和区岸町4-24-11
紅華,139.680248,35.854769,[バ・情]  バランスメニュー提供・健康情報発信,南区太田窪1945-51
砂場,139.702836,35.905008,[バ・情]  バランスメニュー提供・健康情報発信,緑区代山489-3
埼玉大学第１食堂,139.606786,35.862046,[バ・情]  バランスメニュー提供・健康情報発信,桜区下大久保255
埼玉大学第２食堂,139.606124,35.864784,[バ・情]  バランスメニュー提供・健康情報発信,桜区下大久保255
"埼玉福祉事業協会
杉の子マート",139.560807,35.882305,[情]  健康情報発信,西区塚本町1-1-1
三郎寿司,139.654064,35.860921,[バ・情]  バランスメニュー提供・健康情報発信,浦和区仲町1-10-17
"四季のそば膳
えの本",139.610921,35.866319,[バ・情]  バランスメニュー提供・健康情報発信,桜区上大久保189-1
自治医大さいたま医療センター社員食堂,139.645281,35.907073,[バ・情]  バランスメニュー提供・健康情報発信,大宮区天沼町1-847自治医科大学さいたま医療センター内
旬楽飃つむじ,139.65712,35.85732,[バ・情]  バランスメニュー提供・健康情報発信,"浦和区高砂1-4-1
ABCビル１F"
庄や 大宮西口店,139.621027,35.907261,[バ・情]  バランスメニュー提供・健康情報発信,大宮区桜木町2-65DOM2号館1階
庄や 大宮東口店,139.626674,35.908678,[バ・情]  バランスメニュー提供・健康情報発信,大宮区宮町2-28あじせんビル1階
庄や 南浦和店,139.669191,35.846464,[バ・情]  バランスメニュー提供・健康情報発信,"南区南本町1-2-13
三貴ビル2F"
松栄庵,139.612754,35.867371,[バ・情]  バランスメニュー提供・健康情報発信,桜区上大久保650-1
松月堂,139.658342,35.863509,[情]  健康情報発信,浦和区本太2-8-16
星善,139.660162,35.840715,[バ・情]  バランスメニュー提供・健康情報発信,南区根岸5-23-7
石本家,139.650612,35.866922,[バ・情]  バランスメニュー提供・健康情報発信,浦和区常盤3-2-22
足立屋,139.64694,35.86077,[情]  健康情報発信,浦和区仲町3-13-12
大こくや,139.62562,35.88263,[情]  健康情報発信,"中央区本町東
2-17-2"
大宮太陽の家,139.64535,35.89215,[情]  健康情報発信,"大宮区北袋町
2-394-2"
中華　みっちゃん,139.613893,35.857845,[バ・情]  バランスメニュー提供・健康情報発信,桜区道場2-12-1
中華たつのこ,139.704053,35.955766,[情]  健康情報発信,岩槻区本丸2-17-24
中華の永楽,139.69258,35.95255,[情]  健康情報発信,岩槻区西町1-4-7
中華料理ぺきんてい,139.702643,35.945692,[情]  健康情報発信,岩槻区仲町1-4-7
中華楼,139.641218,35.87153,[バ・情]  バランスメニュー提供・健康情報発信,浦和区常盤10-9-13
天天香,139.657147,35.857524,[バ・情]  バランスメニュー提供・健康情報発信,浦和区高砂1-5-9
展望レストラン,139.617386,35.89446,[バ・情]  バランスメニュー提供・健康情報発信,"中央区本町東
6-11-1埼玉精神神経センター7F"
東晶大飯店,139.626689,35.908745,[バ・情]  バランスメニュー提供・健康情報発信,大宮区宮町2-28あじせんビル３階
那須家宗庵,139.634547,35.850355,[バ・情]  バランスメニュー提供・健康情報発信,南区関2-7-18
内藤流手打ちそば　あさきや,139.647057,35.860057,[バ・情]  バランスメニュー提供・健康情報発信,浦和区仲町3-13-6
"八海そば松月庵
手打ちそば　ゆたか",139.65098,35.84668,[バ・情]  バランスメニュー提供・健康情報発信,南区白幡3-15-1
醗酵Cafe'華茂未来,139.63198,35.92386,[バ・情]  バランスメニュー提供・健康情報発信,北区盆栽町91-2
冨士寿司,139.657436,35.859437,[バ・情]  バランスメニュー提供・健康情報発信,浦和区東仲町1-18
福祉の店パレット,139.63797,35.8792,[情]  健康情報発信,浦和区針ヶ谷4-2-65彩の国すこやかプラザ1階
米粉入りベーグル専門店WAベーグル,139.663031,35.847578,[情]  健康情報発信,南区神明1－10－15メゾン・ド・コリン１F
満留賀,139.629481,35.930016,[バ・情]  バランスメニュー提供・健康情報発信,北区土呂町1-2-5
勇寿司,139.657183,35.859587,[バ・情]  バランスメニュー提供・健康情報発信,浦和区東仲町1-16
有限会社　藤宮製菓,139.69501,35.94736,[情]  健康情報発信,岩槻区本町2-1-32
和菓子　秋月,139.69543,35.95528,[情]  健康情報発信,岩槻区愛宕町10-10
和食ごはん 順風満帆,139.614421,35.858018,[バ・情]  バランスメニュー提供・健康情報発信,桜区道場2-9-1
和生菓子　豆の木,139.60779,35.93001,[情]  健康情報発信,北区日進町2-810
